Iris-setosa	6.0049977	5.1	3.5	1.4	0.2	1.525	1.375	1.1	1.05	
Iris-setosa	5.7628117	4.9	3.0	1.4	0.2	1.475	1.25	1.1	1.05	
Iris-setosa	5.6973677	4.7	3.2	1.3	0.2	1.425	1.3	1.075	1.05	
Iris-setosa	5.5551777	4.6	3.1	1.5	0.2	1.4	1.275	1.125	1.05	
Iris-setosa	5.9632206	5.0	3.6	1.4	0.2	1.5	1.4	1.1	1.05	
Iris-setosa	6.133515	5.4	3.9	1.7	0.4	1.6	1.475	1.175	1.1	
Iris-setosa	5.5830097	4.6	3.4	1.4	0.3	1.4	1.35	1.1	1.075	
Iris-setosa	5.886425	5.0	3.4	1.5	0.2	1.5	1.35	1.125	1.05	
Iris-setosa	5.4194098	4.4	2.9	1.4	0.2	1.35	1.225	1.1	1.05	
Iris-setosa	5.820653	4.9	3.1	1.5	0.1	1.475	1.275	1.125	1.025	
Iris-setosa	6.2401924	5.4	3.7	1.5	0.2	1.6	1.425	1.125	1.05	
Iris-setosa	5.7271285	4.8	3.4	1.6	0.2	1.45	1.35	1.15	1.05	
Iris-setosa	5.762812	4.8	3.0	1.4	0.1	1.45	1.25	1.1	1.025	
Iris-setosa	5.541661	4.3	3.0	1.1	0.1	1.325	1.25	1.025	1.025	
Iris-setosa	6.6873016	5.8	4.0	1.2	0.2	1.7	1.5	1.05	1.05	
Iris-setosa	6.5620117	5.7	4.4	1.5	0.4	1.675	1.6	1.125	1.1	
Iris-setosa	6.23057	5.4	3.9	1.3	0.4	1.6	1.475	1.075	1.1	
Iris-setosa	5.9422216	5.1	3.5	1.4	0.3	1.525	1.375	1.1	1.075	
Iris-setosa	6.380439	5.7	3.8	1.7	0.3	1.675	1.45	1.175	1.075	
Iris-setosa	5.9991665	5.1	3.8	1.5	0.3	1.525	1.45	1.125	1.075	
Iris-setosa	6.1196404	5.4	3.4	1.7	0.2	1.6	1.35	1.175	1.05	
Iris-setosa	5.9084682	5.1	3.7	1.5	0.4	1.525	1.425	1.125	1.1	
Iris-setosa	5.827521	4.6	3.6	1.0	0.2	1.4	1.4	1.0	1.05	
Iris-setosa	5.6956124	5.1	3.3	1.7	0.5	1.525	1.325	1.175	1.125	
Iris-setosa	5.661272	4.8	3.4	1.9	0.2	1.45	1.35	1.225	1.05	
Iris-setosa	5.779273	5.0	3.0	1.6	0.2	1.5	1.25	1.15	1.05	
Iris-setosa	5.7341084	5.0	3.4	1.6	0.4	1.5	1.35	1.15	1.1	
Iris-setosa	6.04814	5.2	3.5	1.5	0.2	1.55	1.375	1.125	1.05	
Iris-setosa	6.0497932	5.2	3.4	1.4	0.2	1.55	1.35	1.1	1.05	
Iris-setosa	5.615158	4.7	3.2	1.6	0.2	1.425	1.3	1.15	1.05	
Iris-setosa	5.661272	4.8	3.1	1.6	0.2	1.45	1.275	1.15	1.05	
Iris-setosa	6.0440054	5.4	3.4	1.5	0.4	1.6	1.35	1.125	1.1	
Iris-setosa	6.285698	5.2	4.1	1.5	0.1	1.55	1.525	1.125	1.025	
Iris-setosa	6.4876804	5.5	4.2	1.4	0.2	1.625	1.55	1.1	1.05	
Iris-setosa	5.820653	4.9	3.1	1.5	0.1	1.475	1.275	1.125	1.025	
Iris-setosa	5.926213	5.0	3.2	1.2	0.2	1.5	1.3	1.05	1.05	
Iris-setosa	6.311101	5.5	3.5	1.3	0.2	1.625	1.375	1.075	1.05	
Iris-setosa	5.820653	4.9	3.1	1.5	0.1	1.475	1.275	1.125	1.025	
